id,name,value
TCP5027,ITI - Information Technology Information Council,122
TCP5008,Câmara Brasileira do Comércio Eletrônico (câmara-e.net),96
TCP5028,SindiTele Brasil - SindiTeleBrasil,88
TCP1389,Associação Brasileira de Internet - ABRANET,86
TCP2292,Associação Brasileira de Direito da Tecnologia da Informação e das Comunicações (ABDTIC),79
TCP5007,Associação da Empresas de Tecnologia da Informação e Comunicação (BRASSCOM),76
TCP5015,FEBRABAN,61
TCP5012,Conselho Empresarial Brasil-Estados Unidos,54
TCP1837,Centre for Information Policy Leadership,49
TCP5025,TELEFÓNICA - VIVO,47
