date	freq	freq_acum
2015-01-28	66	66
2015-01-29	43	109
2015-01-30	20	129
2015-02-01	3	132
2015-02-02	1	133
2015-02-03	9	142
2015-02-04	21	163
2015-02-06	3	166
2015-02-10	9	175
2015-02-11	8	183
2015-02-12	7	190
2015-02-17	1	191
2015-02-18	2	193
2015-02-19	1	194
2015-02-20	18	212
2015-02-23	2	214
2015-02-24	6	220
2015-02-25	2	222
2015-02-26	5	227
2015-02-27	5	232
2015-02-28	1	233
2015-03-02	1	234
2015-03-03	4	238
2015-03-04	37	275
2015-03-05	2	277
2015-03-09	4	281
2015-03-10	3	284
2015-03-11	2	286
2015-03-12	3	289
2015-03-13	4	293
2015-03-14	7	300
2015-03-15	11	311
2015-03-16	5	316
2015-03-17	13	329
2015-03-18	9	338
2015-03-19	3	341
2015-03-20	5	346
2015-03-21	1	347
2015-03-23	4	351
2015-03-24	6	357
2015-03-25	6	363
2015-03-27	4	367
2015-03-28	2	369
2015-03-29	11	380
2015-03-30	58	438
2015-03-31	20	458
2015-04-01	20	478
2015-04-02	2	480
2015-04-09	1	481
2015-04-15	1	482
2015-04-21	7	489
2015-04-24	3	492
2015-04-25	1	493
2015-04-27	4	497
2015-04-29	11	508
2015-04-30	12	520
2015-05-04	2	522
2015-05-07	3	525
2015-05-09	1	526
2015-05-11	3	529
2015-05-12	7	536
2015-05-14	5	541
2015-05-18	14	555
2015-05-21	2	557
2015-06-08	7	564
2015-06-09	1	565
2015-06-11	11	576
2015-06-17	3	579
2015-06-18	3	582
2015-06-19	47	629
2015-06-23	1	630
2015-06-24	1	631
2015-06-25	1	632
2015-07-01	4	636
2015-07-02	111	747
2015-07-03	115	862
2015-07-04	19	881
2015-07-05	10	891
2015-07-06	53	944
2015-08-01	912	1856
